code	image 1	image 2
amandine-qty	store/light-green-roses-globalrose-2.jpg	store/light-green-roses-globalrose.jpg
anastacia-qty	store/white-roses-delivery-globalrose-2.jpg	store/white-roses-delivery-globalrose.jpg
alex-qty	store/cream-and-pink-rose-globalrose-2.jpg	store/cream-and-pink-rose-globalrose.jpg
amber-qty	store/orange-rose-globalrose-2.jpg	store/orange-rose-globalrose.jpg
attache-qty	store/fresh-pink-roses-globalrose-2.jpg	store/fresh-pink-roses-globalrose.jpg
big-fun-qty	store/deep-pink-with-cream-roses-globalrose-2.jpg	store/deep-pink-with-cream-roses-globalrose.jpg
blackbaccara-qty	store/black-baccara-roses-globalrose-2.jpg	store/black-baccara-roses-globalrose.jpg
blackmagic-qty	store/black-magic-roses-globalrose-2.jpg	store/black-magic-roses-globalrose.jpg
blizzard-qty	store/white-rose-flowers-globalrose-2.jpg	store/white-rose-flowers-globalrose.jpg
blush-qty	store/blush-roses-globalrose-2.jpg	store/blush-roses-globalrose.jpg
caribbean-qty	store/bright-orange-and-yellow-roses-globalrose-2.jpg	store/bright-orange-and-yellow-roses-globalrose.jpg
cayenne-qty	store/fresh-roses-bright-orange-flowers-globalrose-2.jpg	store/fresh-roses-bright-orange-flowers-globalrose.jpg
cherry-brandy-qty	store/pinky-orange-rose-globalrose-2.jpg	store/pinky-orange-rose-globalrose.jpg
circus-qty	store/circus-rose-globalrose-z.jpg	store/yellow-roses-with-red-orange-tips-globalrose.jpg
citran-qty	store/yellow-rose-flowers-globalrose-2.jpg	store/yellow-rose-flowers-globalrose.jpg
conga-qty	store/dark-yellow-roses-globalrose-2.jpg	store/dark-yellow-roses-globalrose.jpg
coolwater-qty	store/lavender-rose-for-sale-globalrose-2.jpg	store/lavender-rose-for-sale-globalrose.jpg
cuenca-qty	store/peach-roses-globalrose-2.jpg	store/peach-roses-globalrose.jpg
dark-engagement-qty	store/deep-pink-rose-globalrose-2.jpg	store/deep-pink-rose-globalrose.jpg
deeppurple-qty	store/purple-rose-for-sale-globalrose-2.jpg	store/purple-rose-for-sale-globalrose.jpg
eliza-qty	store/dark-pink-roses-globalrose-2.jpg	store/dark-pink-roses-globalrose.jpg
engagement-qty	store/blush-pink-roses-delivery-globalrose-2.jpg	store/blush-pink-roses-delivery-globalrose.jpg
escimo-qty	store/white-wedding-roses-globalrose-2.jpg	store/white-wedding-roses-globalrose.jpg
euforia-qty	store/fresh-yellow-roses-globalrose-2.jpg	store/fresh-yellow-roses-globalrose.jpg
fenice-qty	store/light-pink-champagne-roses-globalrose-2.jpg	store/light-pink-champagne-roses-globalrose.jpg
florida-qty	store/creamy-yellow-roses-with-red-tip-globalrose-2.jpg	store/creamy-yellow-roses-with-red-tip-globalrose.jpg
friendship-qty	store/creamy-yellow-roses-with-burgundy-red-petals-globalrose-2.jpg	store/creamy-yellow-roses-with-burgundy-red-petals-globalrose.jpg
gold-qty	store/yellow-roses-bouquet-and-flowers-delivery-globalrose-2.jpg	store/yellow-roses-bouquet-and-flowers-delivery-globalrose.jpg
goldstrike-qty	store/beautiful-yellow-roses-globalrose-2.jpg	store/beautiful-yellow-roses-globalrose.jpg
greentea-qty	store/green-tea-roses-globalrose-2.jpg	store/green-tea-roses-globalrose.jpg
hermosa-qty	store/roses-soft-pink-blooms-globalrose-2.jpg	store/roses-soft-pink-blooms-globalrose.jpg
high-and-arena-qty	store/light-peach-roses-globalrose-2.jpg	store/light-peach-roses-globalrose.jpg
high-and-blooming-qty	store/dark-orange-rose-globalrose-2.jpg	store/dark-orange-rose-globalrose.jpg
highandbonita-qty	store/pink-roses-for-sale-globalrose-2.jpg	store/pink-roses-for-sale-globalrose.jpg
high-and-magic-qty	store/high-and-magic-roses-globalrose-2.jpg	store/high-and-magic-roses-globalrose.jpg
high-and-orange-qty	store/orange-roses-with-creamy-yellow-petals-globalrose-2.jpg	store/orange-roses-with-creamy-yellow-petals-globalrose.jpg
highyellow-qty	store/high-and-yellow-roses-globalrose-2.jpg	store/high-and-yellow-roses-globalrose.jpg
hotlady-qty	store/hot-pink-rose-globalrose-2.jpg	store/hot-pink-rose-globalrose.jpg
hotparis-qty	store/fresh-red-roses-globalrose-2.jpg	store/fresh-red-roses-globalrose.jpg
hotprincess-qty	store/beautiful-hot-pink-rose-globalrose-2.jpg	store/beautiful-hot-pink-rose-globalrose.jpg
idole-qty	store/soft-yellow-roses-globalrose-2.jpg	store/soft-yellow-roses-globalrose.jpg
jade-qty	store/green-roses-for-sale-globalrose-2.jpg	store/green-roses-for-sale-globalrose.jpg
kerio-qty	store/yellow-roses-with-orange-tips-globalrose-2.jpg	store/yellow-roses-with-orange-tips-globalrose.jpg
konfetti-qty	store/yellow-and-red-roses-globalrose-2.jpg	store/yellow-and-red-roses-globalrose.jpg
